condition,metric,n,mean,std
hard_ortho;base,final_acc_avg,10,0.166666666667,0
hard_ortho;base,final_acc_A,10,0.25,0
hard_ortho;base,final_acc_B,10,0.25,0
hard_ortho;base,final_acc_C,10,0,0
hard_ortho;base,final_drift_kl,10,0,0
hard_ortho;controller,final_acc_avg,10,0.541666666667,0.0708197154666
hard_ortho;controller,final_acc_A,10,0.25,0
hard_ortho;controller,final_acc_B,10,0.375,0.2124591464
hard_ortho;controller,final_acc_C,10,1,0
hard_ortho;controller,average_retention,10,0.3125,0.1062295732
hard_ortho;controller,return_to_base_gap,10,0.025,0.0790569415042
hard_ortho;controller,collateral,10,0.6375,0.0922330984216
hard_ortho;controller,order_sensitivity,10,0.616666666667,0.0895806416478
hard_ortho;controller,final_drift_kl,10,4.92256689072,0.469096035439
hard_ortho;controller,paraphrase_consistency,10,0,0
hard_ortho;controller_routed,final_acc_avg,10,0.983333333333,0.0351364184463
hard_ortho;controller_routed,final_acc_A,10,0.975,0.0790569415042
hard_ortho;controller_routed,final_acc_B,10,1,0
hard_ortho;controller_routed,final_acc_C,10,0.975,0.0790569415042
replay=1;base,final_acc_avg,10,0.166666666667,0
replay=1;base,final_acc_A,10,0.25,0
replay=1;base,final_acc_B,10,0.25,0
replay=1;base,final_acc_C,10,0,0
replay=1;base,final_drift_kl,10,0,0
replay=1;controller,final_acc_avg,10,1,0
replay=1;controller,final_acc_A,10,1,0
replay=1;controller,final_acc_B,10,1,0
replay=1;controller,final_acc_C,10,1,0
replay=1;controller,average_retention,10,1,0
replay=1;controller,return_to_base_gap,10,0.05,0.105409255339
replay=1;controller,collateral,10,0.8875,0.0922330984216
replay=1;controller,order_sensitivity,10,0,0
replay=1;controller,final_drift_kl,10,4.54680764675,0.661148219001
replay=1;controller,paraphrase_consistency,10,0,0
replay=1;controller_routed,final_acc_avg,10,0.983333333333,0.0351364184463
replay=1;controller_routed,final_acc_A,10,0.975,0.0790569415042
replay=1;controller_routed,final_acc_B,10,1,0
replay=1;controller_routed,final_acc_C,10,0.975,0.0790569415042
replay=1;hard_ortho;base,final_acc_avg,10,0.166666666667,0
replay=1;hard_ortho;base,final_acc_A,10,0.25,0
replay=1;hard_ortho;base,final_acc_B,10,0.25,0
replay=1;hard_ortho;base,final_acc_C,10,0,0
replay=1;hard_ortho;base,final_drift_kl,10,0,0
replay=1;hard_ortho;controller,final_acc_avg,10,0.983333333333,0.0527046276695
replay=1;hard_ortho;controller,final_acc_A,10,0.975,0.0790569415042
replay=1;hard_ortho;controller,final_acc_B,10,0.975,0.0790569415042
replay=1;hard_ortho;controller,final_acc_C,10,1,0
replay=1;hard_ortho;controller,average_retention,10,0.975,0.0790569415042
replay=1;hard_ortho;controller,return_to_base_gap,10,0.05,0.105409255339
replay=1;hard_ortho;controller,collateral,10,0.875,0.117851130198
replay=1;hard_ortho;controller,order_sensitivity,10,0.0166666666667,0.0527046276695
replay=1;hard_ortho;controller,final_drift_kl,10,4.70539269447,0.629825034784
replay=1;hard_ortho;controller,paraphrase_consistency,10,0,0
replay=1;hard_ortho;controller_routed,final_acc_avg,10,0.983333333333,0.0351364184463
replay=1;hard_ortho;controller_routed,final_acc_A,10,0.975,0.0790569415042
replay=1;hard_ortho;controller_routed,final_acc_B,10,1,0
replay=1;hard_ortho;controller_routed,final_acc_C,10,0.975,0.0790569415042
retention_ctrl;base,final_acc_avg,10,0.166666666667,0
retention_ctrl;base,final_acc_A,10,0.25,0
retention_ctrl;base,final_acc_B,10,0.25,0
retention_ctrl;base,final_acc_C,10,0,0
retention_ctrl;base,final_drift_kl,10,0,0
retention_ctrl;controller,final_acc_avg,10,0.575,0.0917087445512
retention_ctrl;controller,final_acc_A,10,0.3,0.197202659437
retention_ctrl;controller,final_acc_B,10,0.425,0.205818150587
retention_ctrl;controller,final_acc_C,10,1,0
retention_ctrl;controller,average_retention,10,0.3625,0.137563116827
retention_ctrl;controller,return_to_base_gap,10,0.05,0.105409255339
retention_ctrl;controller,collateral,10,0.675,0.158113883008
retention_ctrl;controller,order_sensitivity,10,0.575,0.0729662529809
retention_ctrl;controller,final_drift_kl,10,4.67025396824,0.59504727041
retention_ctrl;controller,paraphrase_consistency,10,0,0
retention_ctrl;controller_routed,final_acc_avg,10,0.983333333333,0.0351364184463
retention_ctrl;controller_routed,final_acc_A,10,0.975,0.0790569415042
retention_ctrl;controller_routed,final_acc_B,10,1,0
retention_ctrl;controller_routed,final_acc_C,10,0.975,0.0790569415042
